year,severity,value
2000,md_inadqt_hs,
2001,md_inadqt_hs,3.99742
2002,md_inadqt_hs,
2003,md_inadqt_hs,3.81708
2004,md_inadqt_hs,
2005,md_inadqt_hs,3.57281
2006,md_inadqt_hs,
2007,md_inadqt_hs,3.78186
2008,md_inadqt_hs,
2009,md_inadqt_hs,3.71077
2010,md_inadqt_hs,
2011,md_inadqt_hs,3.83114
2012,md_inadqt_hs,
2013,md_inadqt_hs,3.69158
2014,md_inadqt_hs,
2015,md_inadqt_hs,4.22536
2016,md_inadqt_hs,
2017,md_inadqt_hs,
2000,sv_inadqt_hs,
2001,sv_inadqt_hs,2.05732
2002,sv_inadqt_hs,
2003,sv_inadqt_hs,1.94087
2004,sv_inadqt_hs,
2005,sv_inadqt_hs,1.88559
2006,sv_inadqt_hs,
2007,sv_inadqt_hs,1.75856
2008,sv_inadqt_hs,
2009,sv_inadqt_hs,1.82668
2010,sv_inadqt_hs,
2011,sv_inadqt_hs,2.00207
2012,sv_inadqt_hs,
2013,sv_inadqt_hs,1.85935
2014,sv_inadqt_hs,
2015,sv_inadqt_hs,1.25475
2016,sv_inadqt_hs,
2017,sv_inadqt_hs,
2000,,
2001,,6.05474
2002,,
2003,,5.75795
2004,,
2005,,5.45840
2006,,
2007,,5.54042
2008,,
2009,,5.53745
2010,,
2011,,5.8332
2012,,
2013,,5.55093
2014,,
2015,,5.48011
2016,,
2017,,
