year,unit,value
2000,dmstc_mtrl_cnsmptn,2452.9
2001,dmstc_mtrl_cnsmptn,2525.2
2002,dmstc_mtrl_cnsmptn,2598.6
2003,dmstc_mtrl_cnsmptn,2721.6
2004,dmstc_mtrl_cnsmptn,2900.3
2005,dmstc_mtrl_cnsmptn,3080.3
2006,dmstc_mtrl_cnsmptn,3235.8
2007,dmstc_mtrl_cnsmptn,3361.6
2008,dmstc_mtrl_cnsmptn,3375.7
2009,dmstc_mtrl_cnsmptn,3198.4
2010,dmstc_mtrl_cnsmptn,3362.8
2011,dmstc_mtrl_cnsmptn,3596.5
2012,dmstc_mtrl_cnsmptn,3739.1
2013,dmstc_mtrl_cnsmptn,3834.5
2014,dmstc_mtrl_cnsmptn,3970.5
2015,dmstc_mtrl_cnsmptn,4033.2
2016,dmstc_mtrl_cnsmptn,4121.4
2000,dmstc_mtrl_cnsmptn_pr_cpt,8686
2001,dmstc_mtrl_cnsmptn_pr_cpt,8853
2002,dmstc_mtrl_cnsmptn_pr_cpt,9024
2003,dmstc_mtrl_cnsmptn_pr_cpt,9364
2004,dmstc_mtrl_cnsmptn_pr_cpt,9890
2005,dmstc_mtrl_cnsmptn_pr_cpt,10407
2006,dmstc_mtrl_cnsmptn_pr_cpt,10829
2007,dmstc_mtrl_cnsmptn_pr_cpt,11142
2008,dmstc_mtrl_cnsmptn_pr_cpt,11084
2009,dmstc_mtrl_cnsmptn_pr_cpt,10410
2010,dmstc_mtrl_cnsmptn_pr_cpt,10855
2011,dmstc_mtrl_cnsmptn_pr_cpt,11523
2012,dmstc_mtrl_cnsmptn_pr_cpt,11894
2013,dmstc_mtrl_cnsmptn_pr_cpt,12113
2014,dmstc_mtrl_cnsmptn_pr_cpt,12451
2015,dmstc_mtrl_cnsmptn_pr_cpt,12558
2016,dmstc_mtrl_cnsmptn_pr_cpt,12744
2000,dmstc_mtrl_cnsmptn_pct_gdp,23.85
2001,dmstc_mtrl_cnsmptn_pct_gdp,23.77
2002,dmstc_mtrl_cnsmptn_pct_gdp,23.67
2003,dmstc_mtrl_cnsmptn_pct_gdp,23.64
2004,dmstc_mtrl_cnsmptn_pct_gdp,23.63
2005,dmstc_mtrl_cnsmptn_pct_gdp,23.53
2006,dmstc_mtrl_cnsmptn_pct_gdp,23.35
2007,dmstc_mtrl_cnsmptn_pct_gdp,23.22
2008,dmstc_mtrl_cnsmptn_pct_gdp,22.93
2009,dmstc_mtrl_cnsmptn_pct_gdp,22.18
2010,dmstc_mtrl_cnsmptn_pct_gdp,22.47
2011,dmstc_mtrl_cnsmptn_pct_gdp,23.18
2012,dmstc_mtrl_cnsmptn_pct_gdp,23.14
2013,dmstc_mtrl_cnsmptn_pct_gdp,22.97
2014,dmstc_mtrl_cnsmptn_pct_gdp,22.78
2015,dmstc_mtrl_cnsmptn_pct_gdp,22.26
2016,dmstc_mtrl_cnsmptn_pct_gdp,22.13
