year,age,income,sex,value
2000,,,,
2001,,,,
2002,,,,
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,,,,
2009,,,,
2010,,,,
2011,,,,
2012,,,,39
2013,,,,
2014,,,,
2015,,,,
2000,,,male,
2001,,,male,
2002,,,male,
2003,,,male,
2004,,,male,
2005,,,male,
2006,,,male,
2007,,,male,
2008,,,male,
2009,,,male,
2010,,,male,
2011,,,male,
2012,,,male,42
2013,,,male,
2014,,,male,
2015,,,male,
2000,,,female,
2001,,,female,
2002,,,female,
2003,,,female,
2004,,,female,
2005,,,female,
2006,,,female,
2007,,,female,
2008,,,female,
2009,,,female,
2010,,,female,
2011,,,female,
2012,,,female,36
2013,,,female,
2014,,,female,
2015,,,female,
2000,24,,,
2001,24,,,
2002,24,,,
2003,24,,,
2004,24,,,
2005,24,,,
2006,24,,,
2007,24,,,
2008,24,,,
2009,24,,,
2010,24,,,
2011,24,,,
2012,24,,,43
2013,24,,,
2014,24,,,
2015,24,,,
2000,34,,,
2001,34,,,
2002,34,,,
2003,34,,,
2004,34,,,
2005,34,,,
2006,34,,,
2007,34,,,
2008,34,,,
2009,34,,,
2010,34,,,
2011,34,,,
2012,34,,,45
2013,34,,,
2014,34,,,
2015,34,,,
2000,44,,,
2001,44,,,
2002,44,,,
2003,44,,,
2004,44,,,
2005,44,,,
2006,44,,,
2007,44,,,
2008,44,,,
2009,44,,,
2010,44,,,
2011,44,,,
2012,44,,,42
2013,44,,,
2014,44,,,
2015,44,,,
2000,54,,,
2001,54,,,
2002,54,,,
2003,54,,,
2004,54,,,
2005,54,,,
2006,54,,,
2007,54,,,
2008,54,,,
2009,54,,,
2010,54,,,
2011,54,,,
2012,54,,,33
2013,54,,,
2014,54,,,
2015,54,,,
2000,65,,,
2001,65,,,
2002,65,,,
2003,65,,,
2004,65,,,
2005,65,,,
2006,65,,,
2007,65,,,
2008,65,,,
2009,65,,,
2010,65,,,
2011,65,,,
2012,65,,,29
2013,65,,,
2014,65,,,
2015,65,,,
2000,,lowinc,,
2001,,lowinc,,
2002,,lowinc,,
2003,,lowinc,,
2004,,lowinc,,
2005,,lowinc,,
2006,,lowinc,,
2007,,lowinc,,
2008,,lowinc,,
2009,,lowinc,,
2010,,lowinc,,
2011,,lowinc,,
2012,,lowinc,,38
2013,,lowinc,,
2014,,lowinc,,
2015,,lowinc,,
2000,,highinc,,
2001,,highinc,,
2002,,highinc,,
2003,,highinc,,
2004,,highinc,,
2005,,highinc,,
2006,,highinc,,
2007,,highinc,,
2008,,highinc,,
2009,,highinc,,
2010,,highinc,,
2011,,highinc,,
2012,,highinc,,55
2013,,highinc,,
2014,,highinc,,
2015,,highinc,,
