year,unit,value
2000,annl_mn_pm_cities_pw_pm2_5,15.7
2001,annl_mn_pm_cities_pw_pm2_5,15.4
2002,annl_mn_pm_cities_pw_pm2_5,14.4
2003,annl_mn_pm_cities_pw_pm2_5,14.2
2004,annl_mn_pm_cities_pw_pm2_5,13.7
2005,annl_mn_pm_cities_pw_pm2_5,14.3
2006,annl_mn_pm_cities_pw_pm2_5,13.0
2007,annl_mn_pm_cities_pw_pm2_5,13.2
2008,annl_mn_pm_cities_pw_pm2_5,12.1
2009,annl_mn_pm_cities_pw_pm2_5,11.0
2010,annl_mn_pm_cities_pw_pm2_5,10.9
2011,annl_mn_pm_cities_pw_pm2_5,11.1
2012,annl_mn_pm_cities_pw_pm2_5,10.5
2013,annl_mn_pm_cities_pw_pm2_5,10.3
2014,annl_mn_pm_cities_pw_pm2_5,9.8
2015,annl_mn_pm_cities_pw_pm2_5,9.9
2016,annl_mn_pm_cities_pw_pm2_5,9.0
2000,annl_mn_pm_cities_pw_pm10,33.3
2001,annl_mn_pm_cities_pw_pm10,31.9
2002,annl_mn_pm_cities_pw_pm10,30.3
2003,annl_mn_pm_cities_pw_pm10,31.8
2004,annl_mn_pm_cities_pw_pm10,29.6
2005,annl_mn_pm_cities_pw_pm10,32.0
2006,annl_mn_pm_cities_pw_pm10,34.6
2007,annl_mn_pm_cities_pw_pm10,33.1
2008,annl_mn_pm_cities_pw_pm10,30.5
2009,annl_mn_pm_cities_pw_pm10,27.5
2010,annl_mn_pm_cities_pw_pm10,26.4
2011,annl_mn_pm_cities_pw_pm10,27.9
2012,annl_mn_pm_cities_pw_pm10,26.7
2013,annl_mn_pm_cities_pw_pm10,25.0
2014,annl_mn_pm_cities_pw_pm10,25.1
2015,annl_mn_pm_cities_pw_pm10,24.9
2016,annl_mn_pm_cities_pw_pm10,24.7
