year,type,value
2000,,
2001,,
2002,,
2003,,
2004,,
2005,,
2006,,
2007,,
2008,,
2009,,
2010,,
2011,,
2012,,
2013,,1151645000
2014,,974553000
2015,,905674000
2016,,
2000,basic,
2001,basic,
2002,basic,
2003,basic,
2004,basic,
2005,basic,
2006,basic,
2007,basic,
2008,basic,
2009,basic,
2010,basic,
2011,basic,
2012,basic,
2013,basic,
2014,basic,727746000
2015,basic,675671000
2016,basic,
2000,higher,
2001,higher,
2002,higher,
2003,higher,
2004,higher,
2005,higher,
2006,higher,
2007,higher,
2008,higher,
2009,higher,
2010,higher,
2011,higher,
2012,higher,
2013,higher,
2014,higher,246807000
2015,higher,230003000
2016,higher,
