Year,All|Type:formal,Sex:male|Type:formal,Sex:female|Type:formal,Age:24|Type:formal,Age:34|Type:formal,Age:44|Type:formal,Age:54|Type:formal,Age:65|Type:formal,Income:lowquartile|Type:formal,Income:midquartiles|Type:formal,Income:highquartile|Type:formal,All|Type:nonformal,Sex:male|Type:nonformal,Sex:female|Type:nonformal,Age:24|Type:nonformal,Age:34|Type:nonformal,Age:44|Type:nonformal,Age:54|Type:nonformal,Age:65|Type:nonformal,Income:lowquartile|Type:nonformal,Income:midquartiles|Type:nonformal,Income:highquartile|Type:nonformal
2000,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,
2012,26,24,26,73,27,15,8,6,48,21,12,58,57,55,64,60,57,54,49,54,62,80
2013,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,
