year,age,race,sex,value
2000,,,,
2001,,,,
2002,,,,
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,,,,19.2
2009,,,,18.1
2010,,,,17.1
2011,,,,16.2
2012,,,,15.7
2013,,,,15.0
2014,,,,15.0
2015,,,,14.7
2016,,,,
2017,,,,
2000,,,male,
2001,,,male,
2002,,,male,
2003,,,male,
2004,,,male,
2005,,,male,
2006,,,male,
2007,,,male,
2008,,,male,29.8
2009,,,male,28.5
2010,,,male,27.3
2011,,,male,26.2
2012,,,male,25.7
2013,,,male,24.6
2014,,,male,24.9
2015,,,male,24.4
2016,,,male,
2017,,,male,
2000,,,female,
2001,,,female,
2002,,,female,
2003,,,female,
2004,,,female,
2005,,,female,
2006,,,female,
2007,,,female,
2008,,,female,9.1
2009,,,female,8.1
2010,,,female,7.3
2011,,,female,6.7
2012,,,female,6.2
2013,,,female,5.7
2014,,,female,5.6
2015,,,female,5.4
2016,,,female,
2017,,,female,
2000,13_24_y,,,
2001,13_24_y,,,
2002,13_24_y,,,
2003,13_24_y,,,
2004,13_24_y,,,
2005,13_24_y,,,
2006,13_24_y,,,
2007,13_24_y,,,
2008,13_24_y,,,17.0
2009,13_24_y,,,17.4
2010,13_24_y,,,17.7
2011,13_24_y,,,17.5
2012,13_24_y,,,17.4
2013,13_24_y,,,16.7
2014,13_24_y,,,17.3
2015,13_24_y,,,16.9
2016,13_24_y,,,
2017,13_24_y,,,
2000,25_34_y,,,
2001,25_34_y,,,
2002,25_34_y,,,
2003,25_34_y,,,
2004,25_34_y,,,
2005,25_34_y,,,
2006,25_34_y,,,
2007,25_34_y,,,
2008,25_34_y,,,31.1
2009,25_34_y,,,29.4
2010,25_34_y,,,28.8
2011,25_34_y,,,27.9
2012,25_34_y,,,28.2
2013,25_34_y,,,27.6
2014,25_34_y,,,29.0
2015,25_34_y,,,29.3
2016,25_34_y,,,
2017,25_34_y,,,
2000,35_44_y,,,
2001,35_44_y,,,
2002,35_44_y,,,
2003,35_44_y,,,
2004,35_44_y,,,
2005,35_44_y,,,
2006,35_44_y,,,
2007,35_44_y,,,
2008,35_44_y,,,30.7
2009,35_44_y,,,28.1
2010,35_44_y,,,25.2
2011,35_44_y,,,22.8
2012,35_44_y,,,21.2
2013,35_44_y,,,19.6
2014,35_44_y,,,19.9
2015,35_44_y,,,18.8
2016,35_44_y,,,
2017,35_44_y,,,
2000,45_54_y,,,
2001,45_54_y,,,
2002,45_54_y,,,
2003,45_54_y,,,
2004,45_54_y,,,
2005,45_54_y,,,
2006,45_54_y,,,
2007,45_54_y,,,
2008,45_54_y,,,21.8
2009,45_54_y,,,20.1
2010,45_54_y,,,18.7
2011,45_54_y,,,17.8
2012,45_54_y,,,17.0
2013,45_54_y,,,15.8
2014,45_54_y,,,15.1
2015,45_54_y,,,14.6
2016,45_54_y,,,
2017,45_54_y,,,
2000,,black_nh,,
2001,,black_nh,,
2002,,black_nh,,
2003,,black_nh,,
2004,,black_nh,,
2005,,black_nh,,
2006,,black_nh,,
2007,,black_nh,,
2008,,black_nh,,75.9
2009,,black_nh,,70.5
2010,,black_nh,,66.1
2011,,black_nh,,61.7
2012,,black_nh,,58.4
2013,,black_nh,,55.0
2014,,black_nh,,54.9
2015,,black_nh,,53.8
2016,,black_nh,,
2017,,black_nh,,
2000,,white_nh,,
2001,,white_nh,,
2002,,white_nh,,
2003,,white_nh,,
2004,,white_nh,,
2005,,white_nh,,
2006,,white_nh,,
2007,,white_nh,,
2008,,white_nh,,7.7
2009,,white_nh,,7.2
2010,,white_nh,,6.9
2011,,white_nh,,6.6
2012,,white_nh,,6.6
2013,,white_nh,,6.3
2014,,white_nh,,6.3
2015,,white_nh,,6.1
2016,,white_nh,,
2017,,white_nh,,
2000,,hispanic,,
2001,,hispanic,,
2002,,hispanic,,
2003,,hispanic,,
2004,,hispanic,,
2005,,hispanic,,
2006,,hispanic,,
2007,,hispanic,,
2008,,hispanic,,28.1
2009,,hispanic,,26.5
2010,,hispanic,,24.0
2011,,hispanic,,23.0
2012,,hispanic,,22.4
2013,,hispanic,,21.5
2014,,hispanic,,22.1
2015,,hispanic,,21.5
2016,,hispanic,,
2017,,hispanic,,
