Year,ses,sex,Value
2000,,,93.997
2001,,,93.097
2002,,,93.563
2003,,,91.894
2004,,,93.088
2005,,,93.409
2006,,,92.603
2007,,,92.39
2008,,,90.98
2009,,,91.533
2010,,,92.377
2011,,,92.576
2012,,,89.798
2013,,,90.26
2014,,,90.714
2015,,,90.955
2016,,,90.122
2017,,,
2000,,male,93.231
2001,,male,92.969
2002,,male,94.292
2003,,male,92.89
2004,,male,93.392
2005,,male,92.875
2006,,male,92.57
2007,,male,91.097
2008,,male,91.168
2009,,male,90.435
2010,,male,91.833
2011,,male,92.616
2012,,male,89.392
2013,,male,90.622
2014,,male,91.555
2015,,male,90.002
2016,,male,89.689
2017,,male,
2000,,female,94.813
2001,,female,93.228
2002,,female,92.797
2003,,female,90.936
2004,,female,92.76
2005,,female,93.984
2006,,female,92.637
2007,,female,93.731
2008,,female,90.782
2009,,female,92.687
2010,,female,92.949
2011,,female,92.533
2012,,female,90.21
2013,,female,89.862
2014,,female,89.852
2015,,female,91.961
2016,,female,90.588
2017,,female,
2000,low_quintile,,91.313
2001,low_quintile,,91.155
2002,low_quintile,,94.597
2003,low_quintile,,89.153
2004,low_quintile,,88.331
2005,low_quintile,,92.303
2006,low_quintile,,90.213
2007,low_quintile,,86.476
2008,low_quintile,,88.067
2009,low_quintile,,89.575
2010,low_quintile,,89.393
2011,low_quintile,,91.571
2012,low_quintile,,84.552
2013,low_quintile,,91.234
2014,low_quintile,,91.377
2015,low_quintile,,88.737
2016,low_quintile,,88.475
2017,low_quintile,,
2000,middle_low_quintile,,89.94
2001,middle_low_quintile,,90.502
2002,middle_low_quintile,,93.547
2003,middle_low_quintile,,87.978
2004,middle_low_quintile,,93.869
2005,middle_low_quintile,,87.948
2006,middle_low_quintile,,89.283
2007,middle_low_quintile,,91.646
2008,middle_low_quintile,,89.098
2009,middle_low_quintile,,89.559
2010,middle_low_quintile,,91.404
2011,middle_low_quintile,,90.569
2012,middle_low_quintile,,90.22
2013,middle_low_quintile,,89.202
2014,middle_low_quintile,,87.88
2015,middle_low_quintile,,92.879
2016,middle_low_quintile,,89.198
2017,middle_low_quintile,,
2000,middle_quintile,,93.941
2001,middle_quintile,,93.171
2002,middle_quintile,,92.508
2003,middle_quintile,,93.552
2004,middle_quintile,,92.771
2005,middle_quintile,,92.981
2006,middle_quintile,,92.911
2007,middle_quintile,,94.729
2008,middle_quintile,,91.561
2009,middle_quintile,,91.739
2010,middle_quintile,,89.684
2011,middle_quintile,,92.094
2012,middle_quintile,,90.211
2013,middle_quintile,,89.121
2014,middle_quintile,,91.457
2015,middle_quintile,,91.413
2016,middle_quintile,,89.217
2017,middle_quintile,,
2000,middle_high_quintile,,95.549
2001,middle_high_quintile,,94.476
2002,middle_high_quintile,,91.203
2003,middle_high_quintile,,91.548
2004,middle_high_quintile,,94.072
2005,middle_high_quintile,,95.27
2006,middle_high_quintile,,91.891
2007,middle_high_quintile,,92.919
2008,middle_high_quintile,,92.437
2009,middle_high_quintile,,91.871
2010,middle_high_quintile,,94.62
2011,middle_high_quintile,,91.141
2012,middle_high_quintile,,88.854
2013,middle_high_quintile,,88.574
2014,middle_high_quintile,,91.344
2015,middle_high_quintile,,88.191
2016,middle_high_quintile,,89.547
2017,middle_high_quintile,,
2000,high_quintile,,97.852
2001,high_quintile,,95.025
2002,high_quintile,,96.236
2003,high_quintile,,95.4
2004,high_quintile,,95.297
2005,high_quintile,,96.623
2006,high_quintile,,97.242
2007,high_quintile,,95.048
2008,high_quintile,,92.784
2009,high_quintile,,94.306
2010,high_quintile,,95.479
2011,high_quintile,,96.354
2012,high_quintile,,94.151
2013,high_quintile,,92.862
2014,high_quintile,,91.117
2015,high_quintile,,92.512
2016,high_quintile,,93.493
2017,high_quintile,,
